scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,netoperatecashflow,netoperatecashflow_zb,salegoodsservicerec,salegoodsservicerec_zb,employeepay,employeepay_zb,netinvcashflow,netinvcashflow_zb,invincomerec,invincomerec_zb,buyfilassetpay,buyfilassetpay_zb,netfinacashflow,netfinacashflow_zb,nicashequi,nicashequi_tb,niclientdeposit,niclientdeposit_zb,niloanadvances,niloanadvances_zb,intandcommrec,intandcommrec_zb,agentuwsecurityrec,invpay,invpay_zb,cashequibeginning,cashequibeginning_zb,cashequiending,cashequiending_zb,premiumrec,premiumrec_zb,indemnitypay,indemnitypay_zb,eutime,nideposit,nideposit_zb
003037,016004,81024311,三和管桩,水泥建材,001,001,2,zxb,2021-01-25T00:00:00,2017-12-31T00:00:00,670370227.29,19.8277001946778,3853702287.58,113.98187223584,389145905.04,11.5098613020321,-106462667.61,-3.14887172694133,1393098.06,0.04120399377987,59147010.69,1.7494052504593,-530057416.52,-15.677634705244,33809782.31,1.88216647753944,-,-,-,-,-,-,-,1240509092.76,36.6908334808501,168227503.44,4.97570501630361,202037285.75,5.97570501630361,-,-,-,-,2021/1/25 7:16:41,-,-
688350,016041,80288603,富淼科技,化工行业,001,001,2,,2021-01-25T00:00:00,2017-12-31T00:00:00,56468563.21,0.851511081737325,590961164.11,8.91132962325738,90509873.33,1.36483302860959,-38544515.96,-0.581227511634808,-,-,64048909.61,0.965818026984066,-81183017.05,-1.22418979228966,-66315711.47,-1.58776508583718,-,-,-,-,-,-,-,-,-,147975237.14,2.23137524818596,81659525.67,1.23137524818596,-,-,-,-,2021/1/24 15:12:25,-,-
300945,016054,80282521,曼卡龙,珠宝首饰,001,001,2,cyb,2021-01-22T00:00:00,2017-12-31T00:00:00,24976788.78,1.08336691606156,904459604.41,39.2308883645017,66913882.06,2.90238615890833,-1845492.24,-0.080048130056867,-,-,1930202.24,0.0837224219071092,-388410.0,-0.0168472635763495,23054782.65,1.84255609330421,-,-,-,-,-,-,-,-,-,28186588.46,1.22259181046758,51241371.11,2.22259181046758,-,-,-,-,2021/1/22 7:14:34,-,-
300937,016047,81018359,药易购,医疗行业,001,001,2,cyb,2021-01-22T00:00:00,2017-12-31T00:00:00,23042184.73,4.80815502168797,1269900065.35,264.98686855439,40106877.62,8.3690017805368,-92450947.79,-19.2915079053921,-,-,13407829.51,2.79777822909775,64616449.87,13.4833528837042,-4792313.19,-3.68717283096369,-,-,-,-,-,-,-,1303997.0,0.272101790576004,27994837.75,5.84161273274379,23202524.56,4.84161273274379,-,-,-,-,2021/1/21 20:51:21,-,-
300943,016043,80363931,春晖智控,机械行业,001,001,2,cyb,2021-01-22T00:00:00,2017-12-31T00:00:00,127938010.34,1.05223635493678,554896579.3,4.56379110803607,60966476.76,0.50142364344104,-4661868.74,-0.038341910720161,-,-,8250290.59,0.0678551720049424,-398491.82,-0.0032774277092054,121586761.13,1.10218972350549,-,-,-,-,-,-,-,-,-,61731921.03,0.507719100799112,183318682.16,1.50771910079911,-,-,-,-,2021/1/22 7:12:12,-,-
688070,016034,80983463,纵横股份,航天航空,001,001,2,,2021-01-21T00:00:00,2017-12-31T00:00:00,29112313.16,0.772832486254293,114401915.07,3.03698012486619,16184959.76,0.429655404656498,-442684.0,-0.0117517482882489,820260.76,0.0217751217171791,3782944.76,0.100424263374936,9000000.0,0.238919262033956,37669629.16,-,-,-,-,-,-,-,-,36980000.0,0.981692701112856,27445086.61,0.728573315479913,65114715.77,1.72857331547991,-,-,-,-,2021/1/20 19:23:17,-,-
300942,016024,80994573,易瑞生物,医药制造,001,001,2,cyb,2021-01-21T00:00:00,2017-12-31T00:00:00,23602808.8,0.779987457622091,137066023.49,4.52953629774499,27923171.14,0.922759805868323,-10367414.95,-0.342605564341298,249950.65,0.0082599648913179,10817365.6,0.357474805816868,17050510.0,0.563457682462777,30260497.87,0.106873437518482,-,-,-,-,-,-,-,-,-,69222766.56,2.28756205061077,99483264.43,3.28756205061077,-,-,-,-,2021/1/21 7:20:06,-,-
300941,016057,80423801,创识科技,软件服务,001,001,2,cyb,2021-01-21T00:00:00,2017-12-31T00:00:00,56348078.87,1.36775954971267,325106296.71,7.89143571376604,22060302.61,0.535478585418876,1366221.62,0.0331628461032378,2382434.7,0.0578297943397452,1885946.55,0.0457783380683013,-16380000.0,-0.397598318764005,41197357.3,0.0273512485125829,-,-,-,-,-,-,-,911317180.0,22.1207679260534,111216584.39,2.69960482125391,152413941.69,3.69960482125391,-,-,-,-,2021/1/21 7:16:05,-,-
688665,016021,80594767,四方光电,仪器仪表,001,001,2,,2021-01-21T00:00:00,2017-12-31T00:00:00,5194548.06,18.2625320962482,90900846.2,319.581145872317,29504480.35,103.729239416258,-205316.18,-0.721832445059538,-,-,8943329.69,31.4421665993701,-4680735.67,-16.4561159931648,284437.45,-,-,-,-,-,-,-,-,-,-,3983427.13,14.0045803743494,4267864.58,15.0045803743494,-,-,-,-,2021/1/21 10:55:02,-,-
688059,016059,80994791,华锐精密,金属制品,001,001,2,,2021-01-20T00:00:00,2017-12-31T00:00:00,36887642.99,1.96613692133399,89743344.81,4.78338243847084,21226281.74,1.13137551897705,-73700211.98,-3.9282723464685,-,-,74100789.04,3.94962338122339,55575397.55,2.96220718332401,18761482.27,-,-,-,-,-,-,-,-,-,-,1180381.99,0.0629151776502998,19941864.26,1.0629151776503,-,-,-,-,2021/1/19 20:05:53,-,-
605077,016012,80122306,华康股份,食品饮料,001,001,2,shzb,2021-01-20T00:00:00,2017-12-31T00:00:00,80560662.79,9.14313361903991,966019727.78,109.637224221267,67800496.31,7.69493417420719,-28121872.91,-3.19165747560986,564474.3,0.0640643183741863,16492347.44,1.87177874552279,-43129983.41,-4.89498456998239,8811056.05,3.1374230137115,-,-,-,-,-,-,-,70840000.0,8.03989891767855,13769741.45,1.56277991785105,22580797.5,2.56277991785105,-,-,-,-,2021/1/20 7:42:35,-,-
605055,016010,80994749,迎丰股份,纺织服装,001,001,2,shzb,2021-01-19T00:00:00,2017-12-31T00:00:00,324839505.94,3.63908360704138,894356507.91,10.0192188673849,156663269.42,1.75505357306242,24459950.17,0.274017790524337,152609.58,0.00170964125575923,67636364.42,0.757710747922887,-260035769.78,-2.91310597925109,89264095.31,3.73620420052146,-,-,-,-,-,-,-,-,-,23185015.56,0.259735064579797,112449110.87,1.2597350645798,-,-,-,-,2021/1/19 7:40:04,-,-
605337,016012,80994739,李子园,食品饮料,001,001,2,shzb,2021-01-19T00:00:00,2017-12-31T00:00:00,205353928.13,2.31027190298674,785941428.05,8.84199496523744,46331125.59,0.521234235249528,-105311226.4,-1.18477191859206,-,-,146319908.29,1.64612761999852,-11155360.0,-0.125499984394685,88887341.73,0.476360965243749,-,-,-,-,-,-,-,-,-,102291125.82,1.15079519568393,191178467.55,2.15079519568393,-,-,-,-,2021/1/19 7:16:09,-,-
300932,016022,81018318,三友联众,电子元件,001,001,2,cyb,2021-01-19T00:00:00,2017-12-31T00:00:00,24431224.83,2.3291458940443,473992109.91,45.1879422455576,213243707.68,20.3295458835846,-84392807.34,-8.04557127489841,-,-,81116266.32,7.73320289727906,70589498.56,6.72963561498485,10489349.29,0.0833079858997468,-,-,-,-,-,-,-,82122182.17,7.82910168205487,35527843.71,3.38703981798665,46017193.0,4.38703981798665,-,-,-,-,2021/1/18 21:08:45,-,-
600916,016054,80184473,中国黄金,珠宝首饰,001,001,2,shzb,2021-01-19T00:00:00,2017-12-31T00:00:00,426102019.71,0.186521615948592,32596393797.09,14.2687238358265,142426281.76,0.0623455862647752,-68508902.1,-0.0299890414395424,8587106.62,0.00375891436556753,77264735.82,0.0338218142941351,1926871433.82,0.84346742549095,2284464551.43,109.59777472856,-,-,-,-,-,-,-,-,-,490543824.36,0.214730328843551,2775008375.79,1.21473032884355,-,-,-,-,2021/1/19 7:29:34,-,-
688669,016041,80444981,聚石化学,化工行业,001,001,2,,2021-01-19T00:00:00,2017-12-31T00:00:00,36952063.19,4.34148006625149,786922922.55,92.4551942975607,48832782.85,5.7373400839019,-63038276.92,-7.40633672474031,-,-,83557091.24,9.81708231410981,37765555.56,4.43705689210403,8511397.64,-0.848569178135522,-,-,-,-,-,-,-,-,-,94115401.98,11.0575731461185,102626799.62,12.0575731461185,-,-,-,-,2021/1/18 19:36:01,-,-
605303,016046,80463423,园林股份,园林工程,001,001,2,shzb,2021-01-19T00:00:00,2017-12-31T00:00:00,86691163.09,0.41872922337478,1186767015.85,5.73223398050127,44491691.74,0.214900468108604,-8992759.21,-0.0434361582632182,-,-,8997309.1,0.0434581348042892,129335541.33,0.624706934888438,207033945.21,3.87130153304268,-,-,-,-,-,-,-,-,-,62916367.82,0.303893971378376,269950313.03,1.30389397137838,-,-,-,-,2021/1/19 7:32:11,-,-
