scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
688656,016024,80994699,浩欧博,医药制造,001,001,2,,2021-01-08T00:00:00,2019-12-31T00:00:00,63838481.14,259127387.86,189206181.51,0.305500605828434,82733014.23,0.398519058011378,54718030.44,22644757.52,834206.7,70053580.41,73558716.84,9720235.7,-,-,-,-,-,2837304.8,-,-,-,-,-,-,-,-,0.286335,0.424906,0.589824,61054485.37,0.3733234131,2021/1/7 19:18:43,82733014.23
003035,016048,80312513,南网能源,环保工程,001,001,2,zxb,2021-01-07T00:00:00,2019-12-31T00:00:00,276230848.54,1508400089.52,1210006563.81,0.159271213918739,931276587.94,0.229358089858619,24530153.6,113693281.17,124964797.08,304759389.52,323043680.42,19369829.36,-,-,-,-,-,3017137.32,-,-,-,-,-,-,-,-,0.237333,0.375339,0.488253,231638244.12,0.3604302404,2021/1/7 7:16:47,931276587.94
605398,016057,80994782,新炬网络,软件服务,001,001,2,shzb,2021-01-07T00:00:00,2019-12-31T00:00:00,105602112.03,554292863.41,449203912.27,0.0346223939188128,324595565.59,0.001650633989073,24650716.4,47720721.42,1874788.78,114457944.03,114387552.48,8758523.76,-,-,-,-,-,2755811.18,-,-,-,-,-,-,-,-,0.050382,0.158738,0.163053,97397083.38,0.1669467251,2021/1/7 8:10:20,324595565.59
300936,016015,80636770,中英科技,通讯行业,001,001,2,cyb,2021-01-07T00:00:00,2019-12-31T00:00:00,47704899.84,176486076.84,118213895.97,0.0263742469541247,91609512.25,0.00575387654256579,5780253.31,11346890.07,-1691128.44,61027054.35,61036967.35,13332067.51,-,-,-,-,-,1662041.8,-,-,-,-,-,-,-,-,0.009366,-0.000619,-0.095655,44822426.29,-0.1345244,2021/1/7 8:33:26,91609512.25
300935,016057,80393279,盈建科,软件服务,001,001,2,cyb,2021-01-06T00:00:00,2019-12-31T00:00:00,65881527.02,171631520.42,115508506.68,0.184433970555594,1310217.16,0.0878348191870259,67847500.95,17351450.35,-1049771.9,70667520.46,70652618.65,4771091.63,-,-,-,-,-,2401546.97,-,-,-,-,-,-,-,-,0.232304,0.221244,0.27279,64777268.17,0.2534534488,2021/1/6 7:25:52,1310217.16
605228,016035,80995079,神通科技,汽车行业,001,001,2,shzb,2021-01-06T00:00:00,2019-12-31T00:00:00,114430882.7,1590227659.57,1454949159.39,-0.0888966010811051,1181874966.73,-0.0975074191259223,73246657.22,100767697.04,13880983.34,134447998.33,133181771.85,16473385.1,-,-,-,-,-,14875881.17,-,-,-,-,-,-,-,-,-0.094467,-0.085886,-0.175557,107663515.34,-0.1466312652,2021/1/6 7:01:59,1181874966.73
605005,016035,80994694,合兴股份,汽车行业,001,001,2,shzb,2021-01-06T00:00:00,2019-12-31T00:00:00,131579631.44,1177490739.0,1041494401.34,-0.0271754453898889,823016921.7,-0.0113891487096746,45225107.16,103389840.79,7325183.98,147486623.15,149897293.62,18317662.18,-,-,-,-,-,8181979.98,-,-,-,-,-,-,-,-,-0.017815,0.141387,0.142183,111422266.63,0.0200212538,2021/1/6 7:07:26,823016921.7
300932,016022,81018318,三友联众,电子元件,001,001,2,cyb,2021-01-05T00:00:00,2019-12-31T00:00:00,100666713.9,1108843802.05,989474584.75,0.152116337396873,816950824.55,0.169439135608271,57849664.63,59946425.23,5750378.4,112502708.05,112244010.09,13789596.62,-,-,-,-,-,9789242.46,-,-,-,-,-,-,-,-,0.176248,0.280115,0.32435,92226083.31,0.3105473219,2021/1/5 8:20:44,816950824.55
300933,016020,81016893,中辰股份,输配电气,001,001,2,cyb,2021-01-05T00:00:00,2019-12-31T00:00:00,97336009.3,2094098984.55,1988475580.06,0.0971554638976025,1746244852.83,0.0996439710246342,101250392.84,26644843.52,29623394.25,97227905.5,109728762.61,13479771.9,-,-,-,-,-,10949765.31,-,-,-,-,-,-,-,-,0.101262,0.107577,0.096511,84761497.09,0.1171828344,2021/1/5 7:27:44,1746244852.83
688689,016022,80646313,银河微电,电子元件,001,001,2,,2021-01-05T00:00:00,2019-12-31T00:00:00,52724499.0,527893779.4,468305852.76,-0.0942657600850934,383711015.14,-0.108271190261169,24320477.58,26352099.63,-3287987.65,60269300.01,60289014.07,7564515.07,-,-,-,-,-,4991708.35,-,-,-,-,-,-,-,-,-0.098207,-0.038332,-0.056471,49611410.82,-0.0667270394,2021/1/4 19:28:04,383711015.14
688669,016041,80444981,聚石化学,化工行业,001,001,2,,2021-01-05T00:00:00,2019-12-31T00:00:00,99020187.83,1474325873.94,1339869320.53,0.306959623397267,1174478502.9,0.291281295741579,51422520.48,45682097.17,16314492.87,136642325.83,136099683.41,15451254.14,-,-,-,-,-,6577486.03,-,-,-,-,-,-,-,-,0.379275,1.803295,1.257432,94125975.53,1.4972791382,2021/1/5 10:59:17,1174478502.9
688680,016018,80393304,海优新材,塑胶制品,001,001,2,,2021-01-05T00:00:00,2019-12-31T00:00:00,66880501.97,1063220037.18,996145488.8,0.440124973534123,904607134.98,0.468536663792258,20386101.47,18722012.84,12354898.71,69964635.29,72419072.6,5538570.63,-,-,-,-,-,1410287.82,-,-,-,-,-,-,-,-,0.486121,1.525531,1.421803,60737615.31,2.2180009741,2021/1/4 19:41:56,904607134.98
688617,016047,81051468,惠泰医疗,医疗行业,001,001,2,,2021-01-04T00:00:00,2019-12-31T00:00:00,82574919.3,403963580.32,314651377.05,0.403399793692998,117890531.52,0.561780808636605,88970213.16,33027175.71,80428.31,92093695.26,91355224.61,13279930.7,-,-,-,-,-,4260302.85,-,-,-,-,-,-,-,-,0.67084,2.902062,2.838544,80579288.4,0.8458113553,2021/1/3 15:25:45,117890531.52
300927,016041,80006365,江天化学,化工行业,001,001,2,cyb,2020-12-31T00:00:00,2019-12-31T00:00:00,53736284.99,499997157.85,440777775.65,-0.184122122155409,374602974.72,-0.208749804284994,28999060.42,24020847.04,4090680.73,60695872.93,62626858.89,8890573.9,-,-,-,-,-,2290531.59,-,-,-,-,-,-,-,-,-0.181561,-0.166372,-0.127028,51276744.71,-0.1479760008,2020/12/30 21:36:25,374602974.72
300926,016035,80495752,博俊科技,汽车行业,001,001,2,cyb,2020-12-31T00:00:00,2019-12-31T00:00:00,63706876.31,521879336.87,442368949.44,0.100248779745832,369860254.07,0.110794097109243,10610387.08,27896285.24,8860425.29,71400769.78,74362917.28,10656040.97,-,-,-,-,-,5292568.05,-,-,-,-,-,-,-,-,0.096293,0.004177,0.037744,60492835.17,0.0041014354,2020/12/30 21:39:22,369860254.07
300930,016040,80994692,屹通新材,材料行业,001,001,2,cyb,2020-12-31T00:00:00,2019-12-31T00:00:00,59100457.42,305515551.08,253018968.81,-0.0354611922679171,224012477.21,0.0377600371667287,10416142.12,5294336.14,1166940.24,66893246.98,66914058.59,7813601.17,-,-,-,-,-,1344266.83,-,-,-,-,-,-,-,-,-0.01217,0.292531,0.364796,51986457.42,-0.1271955555,2020/12/31 6:58:58,224012477.21
300931,016043,80520714,通用电梯,机械行业,001,001,2,cyb,2020-12-31T00:00:00,2019-12-31T00:00:00,62144546.15,456001975.9,383397276.8,-0.0551935562631757,314366232.35,-0.0384093342233063,38140637.24,17272034.74,-6065285.58,69546250.78,71533131.29,9388585.14,-,-,-,-,-,2291832.52,-,-,-,-,-,-,-,-,-0.048143,-0.031286,-0.01117,59592819.6,-0.0199718135,2020/12/31 9:41:37,314366232.35
300929,016048,80205700,华骐环保,环保工程,001,001,2,cyb,2020-12-30T00:00:00,2019-12-31T00:00:00,71018748.1,553178409.47,474543496.12,0.0609551656015654,391817548.93,0.0348902155247975,13081809.45,28312875.49,20282104.89,82385074.73,81769106.74,10922452.02,-,-,-,-,-,4063715.62,-,-,-,-,-,-,-,-,0.052653,0.13391,0.141641,66399497.59,0.127406603,2020/12/30 7:14:08,391817548.93
601963,016029,80001142,重庆银行,银行,001,001,2,shzb,2020-12-30T00:00:00,2019-12-31T00:00:00,4207488000.0,11947994000.0,6347832000.0,-,6347832000.0,0.0616314435860411,-,2590084000.0,-,5600162000.0,5572287000.0,1250830000.0,11947994000.0,8839129000.0,0.285570694011879,1257593000.0,-,142450000.0,2590084000.0,-,-,-,-,-,-,-,0.102236,0.152189,0.11609,4196808000.0,0.1210659723,2020/12/30 7:17:14,-
003032,016060,80533669,传智教育,文教休闲,001,001,2,zxb,2020-12-30T00:00:00,2019-12-31T00:00:00,180271777.76,923667392.96,756974842.43,0.193962931522474,468063910.14,0.0943611259095027,122450265.22,99947251.56,-1013781.27,183229108.86,202457697.07,22185919.31,-,-,-,-,-,3197177.67,-,-,-,-,-,-,-,-,0.167063,0.138533,0.061643,148147980.88,0.1369346648,2020/12/30 6:59:38,468063910.14
688686,016021,81018306,奥普特,仪器仪表,001,001,2,,2020-12-28T00:00:00,2019-12-31T00:00:00,206446901.47,524618602.58,280990290.09,0.095434839863492,138538795.45,0.143140049847008,67128618.43,18315655.5,-7298806.97,243286405.21,243213386.35,36766484.88,-,-,-,-,-,6122202.51,-,-,-,-,-,-,-,-,0.242786,0.525308,0.509007,205753583.54,0.4956050895,2021/1/6 20:27:38,138538795.45
300894,016019,80650875,火星人,家电行业,001,001,2,cyb,2020-12-28T00:00:00,2019-12-31T00:00:00,239733213.53,1326162079.46,1064523091.55,0.259866873493832,639423624.18,0.406177259893562,331208213.86,39895062.47,-380132.88,269273477.97,278633392.02,38900178.49,-,-,-,-,-,9259022.09,-,-,-,-,-,-,-,-,0.387718,1.363151,1.595982,221141113.53,0.2669619264,2020/12/27 16:51:33,639423624.18
688317,016047,80453302,之江生物,医疗行业,001,001,2,,2020-12-28T00:00:00,2019-12-31T00:00:00,51521833.3,258872522.24,203341537.24,0.266374410932303,61815890.44,0.422464755828162,91937285.78,28018465.92,-2337445.32,61308045.07,61028456.42,9506623.12,-,-,-,-,-,502346.68,-,-,-,-,-,-,-,-,0.153875,-0.155674,-0.17325,44324727.02,-0.122156019,2020/12/28 10:40:39,61815890.44
300055,016048,80139913,万邦达,环保工程,001,001,2,cyb,2020-12-25T00:00:00,2019-12-31T00:00:00,74617232.42,840125824.51,658192468.78,-0.405801766400616,551763159.7,-0.433845619894108,33726088.97,97328288.76,-66147911.6,31827798.96,19131818.19,-51874692.95,-,-,-,-,-,13512314.88,-,-,-,-,-,-,-,-,-0.365598,1.543991,1.825846,73059847.69,1.8349855497,2020/12/29 10:18:06,551763159.7
688618,016015,81056910,三旺通信,通讯行业,001,001,2,,2020-12-25T00:00:00,2019-12-31T00:00:00,57989273.63,172467827.82,122038275.78,0.182949211993401,57790619.69,0.133342526808395,29080985.14,5745406.17,-287735.06,62504171.59,62508389.64,4519116.01,-,-,-,-,-,1837821.37,-,-,-,-,-,-,-,-,0.173242,0.113778,0.128644,54166972.92,0.1130424379,2020/12/24 19:29:33,57790619.69
688819,016007,80290132,天能股份,电力行业,001,001,2,,2020-12-25T00:00:00,2019-12-31T00:00:00,1491731406.83,42744368175.83,41052055426.14,0.188218202938873,36465409110.9,0.219482292110263,1428300064.66,608864718.84,133688864.43,1878547713.26,1879700316.22,330760558.34,-,-,-,-,-,1275131346.8,-,-,-,-,-,-,-,-,0.191885,0.189115,0.225484,1311454944.08,0.250187905,2020/12/24 20:33:07,36465409110.9
300477,016020,80100574,合纵科技,输配电气,001,001,2,cyb,2020-12-25T00:00:00,2019-12-31T00:00:00,63869484.17,1894304152.76,1835718104.82,-0.0556597522090701,1478331829.73,-0.0649176270289801,139478340.28,110131335.15,61929836.25,70122460.71,70341739.76,7991716.6,-,-,-,-,-,11522716.16,-,-,-,-,-,-,-,-,-0.056393,0.243421,0.251275,51945165.74,0.4031943278,2020/12/25 21:48:41,1478331829.73
601956,016043,80031022,东贝集团,机械行业,001,001,2,shzb,2020-12-24T00:00:00,2019-12-31T00:00:00,97706660.95,4928711194.38,4773403146.47,-,4078637598.61,-,195585884.32,155548342.84,45107085.94,213051882.41,217943777.2,35818135.2,-,-,-,-,-,33271333.83,-,-,-,-,-,-,-,-,-,-,-,-,-,2020/12/23 20:10:33,4078637598.61
688698,016020,81045998,伟创电气,输配电气,001,001,2,,2020-12-24T00:00:00,2019-12-31T00:00:00,57553819.08,446235472.01,389999005.12,0.191975545121358,271347423.17,0.257791097275762,41522510.4,27948094.87,2322600.43,62675558.63,63629216.28,6075397.2,-,-,-,-,-,3903528.56,-,-,-,-,-,-,-,-,0.250107,0.492357,0.631307,59431719.08,4.6545648252,2020/12/23 20:01:16,271347423.17
